Context,Utterance,Label
"i instal mplayer-nogui and want to play a .mov in cli . i ve tri -vo sdl and -vo fbdev2 , neither work __eou__ my guess be that i 'm simpli lack fbdev2 , how do i get it for ubuntu ? __eou__ be n't gutsi suppos to be stabl ? __eou__ __eot__ tri `` mplayer -vo fbdev -fs movie.avi '' this will onli work if you have enabl a framebuff resolut in grub ( for exampl vga=791 ) __eou__ tip when you get it to work : tri the `` -xi 1024 '' if you use 1024x768 resolut for fullscreen good in consol : ) __eou__ you sure you use the framebuff ? __eou__ __eot__ i do n't have a framebuff instal i think , i ca n't find ani in apt-get __eou__ __eot__ fbdev doe not need to be instal . should work fine if enabl in grub ( and doublecheck bios/cmo set as well ) . __eou__ __eot__ i ad vga=791 to my distro , no chang . do i need to restart my comput ? __eou__ __eot__ yes __eou__ __eot__ that link work ! my cli be now beauti . but , for some reason i get an american keyboard set , even though my keyboard be swedish . __eou__ __eot__ `` sudo dpkg-reconfigur console-setup '' should let you set `` se '' keymap __eou__ __eot__ thank ! __eou__ __eot__ åäö be need in cli after all ; ) __eou__ __eot__",it say console-setup be break or not fulli instal __eou__,1
"be there an ubuntu/linux gurus here will at answer a coupl question ? i 'm think of chang from window to linux and i need some help __eou__ __eot__ sure __eou__ __eot__ okay , should i pm you ? __eou__ __eot__",sure __eou__,1
"be there anoth good app besid `` gedit '' that that you could use to open various .txt file in separ window ? ? ani suggest ? ? __eou__ __eot__ what do n't you like about gedit ? __eou__ __eot__ basic i ca n't see where i can open differ separ window of .txt file to compar note etc . __eou__ other then that i do n't have a problem with it - it work fine . __eou__ __eot__ ah , instead of tab ? i think there be an option in the file menu , or you can check « man gedit » ( i know there be an option , but i do n't know it and i do n't have gedit instal __eou__ __eot__ when i right click on a text file in doe not show ani other way to ope anoth differ one . __eou__ __eot__ no right click . tri the file menu in gedit __eou__ __eot__","gnash be inth ubuntu softwar repositori , just instal it from the packag manag __eou__ whi ? __eou__",0
quick question : what be the delet command for termin ? __eou__ ty __eou__ __eot__ ctrl-c ? __eou__ unam -r __eou__ __eot__,ty __eou__,1
there 's no man entri for sshd at all __eou__ __eot__ of cours there be ( if you have openssh-serv instal ) __eou__ __eot__ and he doe n't yet ... __eou__ __eot__ the manpag alon be n't go to do him ani good then : - ) __eou__ __eot__,i send him to the sshd homepag for help : ) __eou__,1
"ftw ! __eou__ imagin the hilari spanish / swedish convers they have go on now : ) __eou__ __eot__ unfortun , me too =\ __eou__ __eot__ apt-get now have magic auto dep remov capabl __eou__ __eot__ in edgi . we be talk about dapper __eou__ __eot__ ah , sorri __eou__ cotrat ^^ __eou__ most thing that be funni to you arent funni to anyon els : p __eou__ wfm : ) __eou__ although im use dejavu san condes __eou__ im a mascohist __eou__ detail . detail , , , __eou__ na , you re omnisci : ) __eou__ solitar mayb __eou__ i wish i could find the app which mute amix ever so often for no reason __eou__ __eot__ your gnome or kde mixer when you start a new gnome or kde session perhap ? __eou__ __eot__ i dont think it gnome , it happen like onc a month and i ve never figur out which app be do it __eou__ how do you watch youtub ? ! ? ! ? ! etc . : p __eou__ __eot__ easi , i do n't : ) __eou__ __eot__ miss a cultur revolut there : ) __eou__ __eot__ i ve have that feel ... howev , i 'm also convinc i would have quit miss it even if i have flash . and on the third hand , be that realli a cultur revolut or more of a pointless fashion thing that will vanish in a year __eou__ __eot__ ^^ __eou__ autoremov work fine : ) __eou__ __eot__ if you say so ... when i instal ubuntu-desktop and then tri to autoremov it , howev , i be leave under the impress that i still have like 50 gnome-rel packag instal __eou__ __eot__ hmm , well i guess it may have leave some stuff with gnome dep __eou__ __eot__ in other word - if i do `` aptitud instal ubuntu-desktop ; aptitud purg ubuntu-desktop '' , i 'm back with the exact packag i have origin . but do `` apt-get instal ubuntu-desktop ; apt-get -- purg autoremov ubuntu-desktop '' do n't quit seem to have the same effect __eou__ __eot__ yeah , i guess ive never use it for a full -desktop meta packag ... it work when remov annoy kde dep when i instal random bite though __eou__ you cant just run vnc and posit it on one half of the monitor ? __eou__ __eot__ hm no , that 's not what i mean ... basic , i have a window machin with it own monitor next to me , and i 'd like to have one of my ubuntu workspac on it monitor __eou__ in other word , dual monitor but with one of the monitor not be local __eou__ __eot__",i ask here becuas i fail to find it ... __eou__,0
"it 's probabl not mount > . > __eou__ you should be abl to mount it with nautilus __eou__ quick question , i compil mono , be there ani hack for apt so i can instal packag for it even though i never instal mono from it ? __eou__ __eot__ equiv __eou__ __eot__ eh ? __eou__ __eot__ apt-cach search for it __eou__ i alreadi tell you __eou__ not in ubuntu . discourag root use be good __eou__ __eot__ what 's wrong with root use : o __eou__ __eot__ look at the typic window user who be alway root . do you have to ask more ? __eou__ __eot__ heh.. __eou__ __eot__ i be not joke __eou__ __eot__ well what about the technic user __eou__ __eot__ ubuntu be not aim at technic user `` linux for human '' or such , ai n't it ? __eou__ __eot__","befor i make myself look like a total idiot , i ll go do that . __eou__ on-board i/o risc processor and raid offload provid true hardwar raid __eou__",0
could someon help me with some bash stuff __eou__ __eot__ sure . __eou__ it 's an escap charact . space be use to separ option . __eou__ my friend name be betti ann and staci __eou__ do i have two friend or 3 ? __eou__ __eot__,3 __eou__,1
"i 'm not sure if i total understand the concept of packag : doe that mean i can onli instal updat for softwar after the ubuntu dev have port it to the synapt packag ? __eou__ so as long as there be no updat for ff 1.0.3 in the repositori , i ca n't upgrad it . or would there be anoth way ( not that i need to upgrad , just out of interest ) ? __eou__ becaus it have addit bug fix i suppos __eou__ no ? __eou__ hmm ivok , so the ubuntu 1.0.2 version of ff contain all bug fix of the 1.0.3 version from mozilla ? that 's confus : ) __eou__ whi would n't they chang the version to 1.0.3 as well ? __eou__ __eot__ it be n't ... it 's call secur repositori __eou__ whi would u updat ? __eou__ __eot__ i do n't need to upgrad . just tri to figur out how the packag thing work __eou__ __eot__",whi would u use firefox 1.0.3 from mozilla.org instead of firefox 1.0.2 in ubuntu __eou__ it doe n't __eou__ all secur hole discoverd on 1.0.2 be fix in 1.0.2 __eou__ debian and ubuntu backport secur fix __eou__ np __eou__,1
"hi guy do i need to instal a anti-virus on my ubuntu 9.10 and if i have to what kind of anti-virus do i have to instal on my system __eou__ __eot__ yes __eou__ mean what exact , it wo n't instal ? __eou__ ok and that after an upgrad from 9.10 ? __eou__ ok can you do a clean instal easilli ? __eou__ normal upgrad go well , but not alway __eou__ and if an upgrad have mess up it doe n't tend to be that easi to fix __eou__ start over , with ubuntu 10.04 from the cd __eou__ get the iso ? __eou__ __eot__","use flash 9 with libflashsupport ? __eou__ it 's basic an extens of alsa , brand new to hardi , which be whi it still have some bug . __eou__",0
what be the cmd to display a file and echo new line ad to it live ? __eou__ __eot__ use the -f option to the tail command . see `` man tail '' and use a command like `` tail -f filenam '' __eou__ __eot__,right -- past the result of # lsmod in # flood pleas __eou__ it 's come -- slowli ; ) __eou__,0
"pleas help me . i think i accident click someth , and now i have this : http : //www.tonyyarusso.com/screenshot-thunderbird.png . where 'd everyth go ? __eou__ __eot__ so it 's thunderbird ... what 's the problem ? __eou__ __eot__ there be n't ani folder or messag show ... . __eou__ __eot__ have you check the view menu ? __eou__ __eot__",yep . someon els figur it out . : ) ( wow ... ) __eou__,1
"how can i copi file to a directori ? ? __eou__ my file be on differ place __eou__ i mean on a differ folder __eou__ __eot__ you can specifi whatev folder you 'd like __eou__ i msgd you to help , but no respons __eou__ im offer help in our privat chat , but all i get from you be `` hello '' after i give specif instruct ... __eou__ you re hopeless . i can walk you through use teamview or someth . cant help when your unrespons though __eou__ __eot__",rww be the anoth member in the channel __eou__,0
"i have pin it down ! __eou__ appar , when my laptop come back from gnome-screensav , my cpu shoot up to 100 % usag , despit noth signific run __eou__ __eot__ - tri open a termin and run `` top '' the offend program should be the highest on the list and say it 's use a bunch of cpu time . __eou__ __eot__",work good with firefox not with opera : x __eou__,0
initrd doe not boot my clean raid - how to autom `` # mdadm -- assembl -- scan ; exit '' on bootup ? my grandpar will appreci your help ; ) __eou__ __eot__ grandpar run raid on their machin ? now that 's adventur : ) __eou__ __eot__ it work for 3 year and at least 4 ubuntu version __eou__ __eot__ that 's great.. i 'm not dout you.. just think it 's realli nice of you to set their system up that way.. they probabl do n't even realiz the benefit of it . __eou__ __eot__,"yes , they have no clue that be the reason whi i run them on linux it be a nightmar on window befor - the raid save the system onc till now __eou__",1
"hey guy , ive a question about 64bit processor architevtuur . would anyon be kind to help me ? : ) __eou__ __eot__ i be in 32 mode while my cpu support em64 __eou__ __eot__ that exact what i want to ask , about support : ) look , celeron m 520 support 64bit archetictur as i can see on the net . but a guy tell me it not realli 64bit architectur . so be it or not ? : ) __eou__ __eot__ mayb you should check www.intel.com for the featur of that cpu type , i onli know that all core2 support em64 __eou__ __eot__ i check it on intel site , therestand that some of the celeron m 's support 64 architectur . and there stand 520 doe . but a guy at the shop , when i askd him about one laptop there . like , be it a 64bit architectur processor ? he sad : no , it not realli 64 bite architectur . so no im like o.o __eou__ __eot__",i 'm tri reinstal the linux-headers-2.6.28-12 file __eou__,0
"i 'd like to know : whi do debian latest releas 's repositori be so outdat when it come to applic such as amsn or videolan ? be it that debian goe sever step behind where ubuntu goe ? __eou__ __eot__ ubuntu be base on debian __eou__ the ubuntu team aggres updat packag , etc __eou__ wherea the debian team doe n't have as mani packag maintain ( it seem ) __eou__ __eot__","i know , but i do n't know whi the debian team doe n't updat packag in their current releas __eou__",1
tri http : //danielwebb.us/software/vnc/ __eou__ __eot__ java vnc 's yeah . i tunnel vnc proper over ssh : ) __eou__ vnc on it 's own be not secur __eou__ __eot__ i do n't think he 's worri about secur __eou__ __eot__,be there npt ani command like lshw from termin to know this ? __eou__,0
"hey , my firefox close itself when play flash like youtub , sound and video ok ... __eou__ wait a sec __eou__ __eot__ flash plugin version tool - > addon - > plugin __eou__ __eot__",shockwav 9 ... __eou__,1
"so you think i should reboot into failsaf mode and then `` sudo aptitud purg gdm and then sudo apt-get instal gdm '' ? __eou__ ok , shall do . __eou__ __eot__ you should switch to termin befor , dont do that from run session __eou__ __eot__ when i reboot into failsaf all i have be a termin ... . be that what you mean ? __eou__ __eot__ alt+ctrl+f1 to termin , it should be safe from there __eou__ __eot__ ok , i ll tri that then __eou__ yeah , thank pihhan and surivorman ! ! __eou__ __eot__",if it still open then no __eou__,0
"dure boot , ubuntu tri to assembl my softwar raid ( hda3 & hdb4 ) but fail , it tri to `` bind '' hda3 and hdb ( no trail number ) , in do this , all the hdbn ( 1-4 ) dissapear , make it imposs to mount it manual , doe anyon know what 's go on here ? __eou__ __eot__ we can see your question , be patient to find whether some one answer your question , if not be sorri __eou__ __eot__ sorri , get frustrat : ( __eou__ __eot__ no use in get frustrat in a public channel full of volunt __eou__ __eot__","prefer applic for what , jigdo ? i be use jidgo-lit __eou__",0
"your output ( pastebin ) look like the nvidia driver be not instal ( or not work ) . __eou__ __eot__ what zelrikriando say . __eou__ __eot__ which ati card ? __eou__ __eot__ ummm ... good question , not sure . it 's a mobil radeon , i know that much . __eou__ __eot__ which model of notebook ? __eou__ __eot__ it 's a gateway ml3109 __eou__ __eot__ ati radeon xpress 200m ? __eou__ __eot__ sound right . : ) __eou__ __eot__ can you send your xorg.conf to pastebin ? __eou__ __eot__","sure , but hold on one second __eou__",1
whi ca n't synapt download and instal packag at the same time ? __eou__ __eot__ becaus often you do n't want ani packag to instal unless they can all be instal . you ca n't be sure there wo n't be a problem download other packag in a transact until they be all download . __eou__ __eot__,"from a termin under a normal user.. to do root task , do : sudo < commandsher > __eou__",0
autamatix be the devil __eou__ __eot__ maybe.. __eou__ __eot__,definit : ) __eou__,1
hey peopl - i be have a problem tri to get the glider theme look good __eou__ anyon get the same problem ? __eou__ the button look major squar and bore __eou__ how do i instal that ? __eou__ __eot__ whi do n't you take a screenshot for us __eou__ __eot__ that what i get - still work on the screenshot __eou__ __eot__,you could tri download the deb from here http : //packages.debian.org/unstable/x11/gtk2-engines-smooth __eou__,1
can you open program in a virtual window from a term ? __eou__ __eot__ virtual window ? __eou__ __eot__,"ya , so a program dosnt fullscreen itself __eou__",1
"hello folk __eou__ i just installd ununtu __eou__ my mous aint workin __eou__ i have a serial mous __eou__ pleas help __eou__ ubuntu rock ! but without my mous , i 'm helpless ! ! ! __eou__ hmm __eou__ but i chang /dev/input/mic to /dev/ttys0 __eou__ still not work : ( __eou__ __eot__ do you restart x sinc then ? __eou__ __eot__ i restart : - ) __eou__ __eot__","no , it 's a big and complex topic you ll have to research the basic on your own __eou__",0
"what be a reliabl ubuntu firewal __eou__ and that strong enough ? __eou__ lol __eou__ be it set by default or do you have to set it yourself __eou__ be the ubuntu firewal set by default ? __eou__ __eot__ yes , you can check it by do a sudo ufw enabl __eou__ you might also want to read the abov document - https : //help.ubuntu.com/community/ufw __eou__ __eot__","see , i dont even have that option anymor , i onli see wire ' and modem ' __eou__",0
"hi channel , i have a non ubuntu question , may i ? it 's c++ __eou__ __eot__ tri # # c++ , no ? __eou__ __eot__",read the releas note it mention there __eou__,0
pls explain . __eou__ __eot__ kernel panic sever time a day __eou__ kernel panic __eou__ __eot__,"the wireless interfac work with unencrypt network , if it that what you mean ? __eou__",0
"hi ... .when i click a file & it open a window so i must select the right applic to run that file ... .how do i reach the exe file of that applic ? __eou__ hi ... .when i click a file & it open a window so i must select the right applic to run that file ... .how do i reach the exe file of that applic ? __eou__ __eot__ there be no exe , that be a window construct . linux have binari and most be present in /usr/bin __eou__ it a binari in linux . it also what they be in window but peopl call them exe as that be the file extens , file extens dont mean much in linux __eou__ in what sens ? __eou__ you can see if it run use : ps -ef|less __eou__ apt-cach polici packagenam , will say if it 's instal __eou__ no , just less . you can review all process __eou__ you can use : ps -ef|grep name , to filter the output instead too __eou__ __eot__",im start to feel that ditch gnome for uniti be a bad idea after all __eou__,0
"hi __eou__ how do i get rid of the hpij without apt remov my ubuntu-desktop , etc . ? __eou__ __eot__ ubuntu-desktop be just a meta-package.. __eou__ __eot__",nope __eou__,0
! beryl __eou__ will a pentium 2 run xubuntu fine ? \ __eou__ it tell ya on the page __eou__ __eot__ yes ; it 's more about the memori __eou__ __eot__,thank __eou__,1
hey __eou__ can someon help me with some stupid problem ? lol im tri to go from 5.1 to dapper __eou__ i just instal ubuntu . : / __eou__ __eot__ upgrad must be do in order.. __eou__ you would be better off get a newer version __eou__ yes __eou__ you can select languag dure the instal __eou__ __eot__,he mean regist __eou__,0
"i have a multi-part rar file ( rar , r00 , r01 , r02 , etc . ) which file-rol and ark both can not tell span multipl file __eou__ what program will read through all the part ? __eou__ __eot__ you run dapper or breezi ? __eou__ i take it you ve instal the unrar packag __eou__ __eot__ yeah , heh __eou__ __eot__",ark doe that for me automat __eou__,1
"how much of a differ doe 100ma make on batteri runtim for laptop ? __eou__ __eot__ depend how much say laptop use per minut __eou__ __eot__ be there a way i can determin that ? __eou__ __eot__ i have an old xubuntu on my laptop , the power manag show power usag in graph form __eou__ __eot__ hmm ... would the `` batteri charg monitor '' applet show that ? __eou__ __eot__ not sure what it be call on my comput __eou__ __eot__ depend on what mode i set it for ... if i set it for ondemand or perform , it be exact 4 hour of runtim on a 6000mah batteri , but if i manual set the cpu frequenc for 800mhz ( it can go up to 1.86ghz ) , the time goe up to exact 5 hour on a full charg __eou__ __eot__","lol , they ca n't do anyth __eou__",1
"hi again , i check now in gnome-menu-editor __eou__ __eot__ sound like might be a configur error __eou__ __eot__","i creat new user , same error __eou__",1
use wine be possibl run ms offic on ubuntu ? __eou__ __eot__ http : //www.winehq.org/search ? cx=partner-pub-0971840239976722 % 3aw9sqbcsxtyf & cof=forid % 3a10 & ie=utf-8 & q=offic # 823 __eou__ __eot__,yup __eou__,0
we need to write a bot to spam the topic everi 5 second __eou__ __eot__ everi 5 second ? bad idea : ) __eou__ __eot__,my max download speed so far have be 9360 b/s __eou__ this firefox be crawl not surf the web . __eou__,0
"psycho , tri run `` top '' and press shift+p __eou__ see which process be work __eou__ ( they be order by cpu usag ) __eou__ thank thoreauput , never assum noth : - ) __eou__ anyon can tell me if there 's a way to unpack a deb packag , modifi it depend ( control file ) and repackag it , without access to the sourc packag ? __eou__ eheh __eou__ psycho , which be the second one ? __eou__ __eot__ no __eou__ but rebuild be pretti easi , if you have the sourc __eou__ which packag ? __eou__ be it a dfsg-free program ? can it be includ into debian ? __eou__ __eot__","i 'm pretti sure it be , but yet it 's in heavi develop , sort of bleed edg . a guy take a cvs snapshot , compil and get a binari packag , but i need to fix it depend for ubuntu and ca n't wait for him ( i need it more or less now ) : ) __eou__ it 's possibl to modifi and repackag debian packag __eou__ and it be not even difficult : ) __eou__ if you be interest - > http : //www.debian-administration.org/articles/116 __eou__",1
anyon know the _command_ for the login screen manag ? __eou__ __eot__ i drag/drop the icon to the desktop and see what it launch . : ) __eou__ __eot__,i ca n't do that sinc it 's not in my gnome-panel . i ve get a terribl small system and i 'm look to instal just that packag . __eou__,1
flashplugin-nonfre be still break ? how hard be it to chang the md5sum in the packag ? __eou__ __eot__ the md5sum be the least of the issu . the entir instal chang . __eou__ __eot__,it should n't take this long to fix a packag that 90 % of desktop user will want __eou__ whi ca n't the break packag at least be remov from the repo ? __eou__ if they ca n't fix it ? __eou__,1
anyon know whi it be i ca n't hear sound through flash program ? __eou__ __eot__ what ubuntu version ? __eou__ __eot__,it 8.10 __eou__,1
"k __eou__ : p __eou__ it 's happi for all human be __eou__ you can write fork bomb and crash it __eou__ ok , guess i ll wait for june 1st then : ) __eou__ earli birthday present i hope lol __eou__ i 'd need to compil it though , correct ? __eou__ sudp apt-get upgrad work ? __eou__ __eot__ no . flight 7 have nicer instal than ani oper system you know : ) __eou__ sudo -sed -e s/breezy/dapper/ ' -i /etc/apt/sources.list & & sudo apt-get updat & & sudo apt-get dist-upgrad : p __eou__ but bewar it might b0rg your system . __eou__ -sed be sed without the '- ' __eou__ __eot__",you know how to do that ? __eou__,0
"ne , cool __eou__ __eot__ it be general a good idea but it be not necessari . __eou__ /var stand for variabl mean file that chang in size often . __eou__ /usr i believ be for common user file like program binari etc etc __eou__ not to mention the best help desk around ! : ) __eou__ __eot__ dont think too high of yourself __eou__ __eot__","thank a lot , just want to confirm it . __eou__",0
"http : //viqles.un.geek.nz/savemoneyatxmas.jpg __eou__ __eot__ that 's in glorious bad tast , thank for share ! : p __eou__ __eot__",no problem : ) __eou__,1
"i think it funni how i get beryl to work on edgi but my stupid wireless card doesnt work __eou__ __eot__ you tri to use ndiswrapp with bcmwl5a on edgi ? __eou__ from what i read ( http : //ubuntuforums.org/showthread.php ? t=286924 ) the ndiswrapp packag with edgi be break __eou__ so everyon be have problem __eou__ __eot__ haha that like a punch to the groin be what that be __eou__ __eot__ the solut seem to go to ndiswrapper.sf.net and make the sourc yourself . veri pain : ' ( __eou__ __eot__ im a noob , i dont think i can do that but if it not imposs i would ike to __eou__ __eot__ you can do it ! __eou__ __eot__",okay step 1 : what doe make sourc ' mean __eou__,1
"i have dapper . if i have the feisti disk , when i instal , can i just put it in ext3 over dapper ? __eou__ __eot__ you could , but it 's best to ( have a backup and ) tell the instal to format the dapper root partit . __eou__ __eot__ how do i format the dapper root partit ? __eou__ __eot__ it 's a tick box in the feisti instal . __eou__ choos manual partit __eou__ __eot__ so all i have to do be backup , do a format of the dapper root partit , and then instal feisti ? __eou__ and what be the `` dapper root partit '' ? ext3 ? __eou__ __eot__ even easier . you let the instal do it all for you . __eou__ by dapper root partit i mean the partit where the system file of your old instal go . yes , it 's veri probabl ext3-format . __eou__ __eot__ i do n't feel veri comfort by let it do it all automat if that 's what you mean __eou__ __eot__ the instal ( ubiqu by name ) be so well test that you re more like to screw up than it ( at least if you re like me ; ) __eou__ __eot__ but wo n't i have to tell it somehow that i want ext3 format ? __eou__ __eot__ no . if you want anyth other than ext3 , you have to use the altern cd . __eou__ __eot__ i do want ext3 but you say befor that there be a tick box in manual mode to tell it to format ext3 . if i select automat mode , how will it know to format it ? and how will it know that i do n't want to creat a second ext3 partit ? __eou__ __eot__ there be a tick box to format it . you do n't get a choic as to the file system . __eou__ you ve get a backup , right ? stop worri and get to work ( be my suggest ) __eou__ __eot__ thank , i ll work on it . i just do n't want to screw up my hard drive with more partit than i want . __eou__ __eot__ there be veri littl danger of that . __eou__ __eot__ ok , thank again . see ya __eou__ __eot__",it say i need to instal build-essenti . and i find a .deb file from ubuntu . and i have to instal it that way sinc sudo apt-get doe n't work __eou__,0
"i have a privat key with a password that i use to connect to other hosts.. but now i want to run a cron job that rsync file from one host to another.. this of cours fail , sinc the cron process have n't get access to my ssh-agent.. how can i solv this ? __eou__ __eot__ ssh-keygen __eou__ __eot__ generat a new set of key for that use ? __eou__ __eot__",yes without an password and updat your ssh_config so those key be onli use in that situat __eou__,1
still get depend issu between abiword and abiword common and xfce4 ... must be a version issu __eou__ there seem to be an issu unpack replac xfwm4-theme packag __eou__ script die __eou__ __eot__ what packeg __eou__ __eot__,vga doe n't give me 1600x1200 @ 24bpp @ 100dpi __eou__,0
hi there ! __eou__ be there a easi way to remov html tag from within a queri - like select fieldwithhtmltag as fieldwithouthtmltag from randomt ? __eou__ __eot__ perhap you should ask that question in # mysql __eou__ __eot__,you r right ! ; -9 __eou__,1
tri comment out the `` v4l '' modul __eou__ __eot__ give it a shoot thnx for look __eou__ comment them out where in xorg ? __eou__ __eot__ should comment that out in your modules.conf i think . let me check __eou__ should comment that out in your /etc/modul file __eou__ __eot__ thnx __eou__ if this right file i have no v4 modul http : //pastebin.com/m7200a694 __eou__ __eot__ that the right file . __eou__ __eot__,imposs to dowload __eou__,0
"i have a problem where my leave alt key doesnt seem to work , but right alt work fine ... i find the layout option a bite confus - be there anyth there that be like to fix this __eou__ xev seem to show alt_l and alt_r correct so i 'm not sure whi it isnt work __eou__ i be connect through nx actual as well - but i dont think that the issu becaus xev show alt_l correct __eou__ __eot__ make sure to look at all the option http : //www.zolved.com/synapse/view_content/28017/fix_your_right_alt_key_in_ubuntu __eou__ __eot__ i saaw that and i ve tri 3rd level on and off for both leave and right alt __eou__ __eot__ you can also test if your wm have anyth to do with it by tri a differ one __eou__ make sure usa layout be select or whatev for your board __eou__ also , check this : gnome-keybinding-properti < -- not in gui menu iirc __eou__ gnome-keyboard-properti should show you the layout while -keybindings- will show you what key be bind to what __eou__ mayb tri # xorg __eou__ this might be a candid for a gcc bug against the fortran compil __eou__ curious though , what still use fortran ? __eou__ __eot__ i use it to extend matlab or python for speed ( numer ) ... vectoris notatino and array work veri well , and openmp be nice ( can do someth ca n't do in c++ liek reductioin on array and so on ) __eou__ i would n't like to rwrite a big app in it but when i want to make a loop faster and parallelis without pay matlab $ 10,000 it be the quickest and easiest way __eou__ __eot__ i do n't care about what *you* use it for : ) i 'm wonder what real-world app use it __eou__ __eot__",scientif comput __eou__ noth els as far as i know __eou__,1
"i 'm tri to restor an open , delet file use `` ln -l '' , and __eou__ get a `` no such file or directori '' error . various blog comment __eou__ say this work , but be n't on my system . i 'm use coreutil 8.5 on __eou__ ubuntu . ani pointer ? __eou__ ( sorri , bad copy/past ) __eou__ __eot__ you can just grab the file from /proc/ usual __eou__ __eot__","yep , and this be piti : ( __eou__ yep , i ve this pacman alreadi , but that old one be more , more attract __eou__",0
hi all __eou__ anyon know of a good philosophi channel or academ server ? __eou__ __eot__ # philosophi __eou__ __eot__,"give me a minut , pleas __eou__ echo `` et.x86 0 0 direct '' > /proc/asound/card0/pcm0p/oss __eou__",0
"i be tri to print , usb hp psc 1210 , and when i tri to print a test page it fail , i do the diagnos problem dialog and it say `` the printer 's temporari state messag be : ' can not creat temporari file ' __eou__ this sound like a permiss issu but i do n't know where to look __eou__ __eot__ imo i would scour googl and look to see who els have your troubl , and then use their solut __eou__ it 's common for print issu to get solv and document on google-access forum __eou__ __eot__ that 's not realli help , i have look at googl , about 20 page so far . __eou__ __eot__ hmph ... which driver be it use ? __eou__ __eot__ gee , i do n't know , how do i find out ? __eou__ __eot__",yes the splash __eou__ where be menu.lst __eou__,0
"hi , i hope someon can help me , i 'm tri to instal ubuntu , but when i get to `` select a disk '' it show me the partit i want to setup on ( which be in /dev/mapp ) but it will onli allow me to resis the disk ( /dev/sda ) how to i get an option for the dev/mapp parit in this manual partit resez section , thx for readin anyway : p __eou__ __eot__ /dev/mapp ? be you use some sort ofencrypt softwar ? __eou__ ! pastebin | aaron __eou__ __eot__","someon have me run an instal and it ask me which i want to make defalut , kdm or dpm , and now after select dpm , right after i login and put in my password i get a blank screen and it stay there __eou__",0
"hi . be upstart an ubuntu project , or a debian project ? __eou__ __eot__ ubuntu __eou__ __eot__","depend on what you be use your host for ? you be host what with them , a websit ? __eou__ oh hrmm -- do n't know then what could it be . suggest ask the person respons for the mail server . __eou__ do you check server requir authent ' ? __eou__ and put in your usernam ? __eou__ becaus that 's all the packag maintain tell synapt to do . take it up with the person that make the packag . __eou__ sgml be the grand-daddi of html and xml and everyth els deriv from it . __eou__ .tk be own by a corpor __eou__",0
"hello __eou__ ani recommend for a problem-fre laser printer ? __eou__ __eot__ brother hl2140 __eou__ __eot__ thank , i be in fact think of a brother one __eou__ know anyth about the 2035/37 ? __eou__ __eot__","no , i 'm just have a 2140 , as well as a friend of mine , and we be both run the printer on ubuntu w/o problem , onli thing i get to do be instal anoth driver ( through repo ) then the suggest one . but i think the other will work too . brother get a pretti nice linux support when it come to driver . __eou__",1
there be wireless driver in 9.04 that be n't in 8.04 . you have to search for the driver in 8.04 . __eou__ __eot__ doe 9.04 have 4322 broadcom driver ? __eou__ __eot__ i think broadcom driver be still a broadcom legal issu . still a matter of ndiswrap but do a littl closer to the kernel in 9.04 . onli as a modul in 8.04 __eou__ __eot__ so yes or no ? __eou__ __eot__,it 's work now ... it 's download updat __eou__ it 's work now . it could n't resolv http ' becaus i have set the proxi in two place . __eou__,0
be it a bad idea to run sshd on a port outsid the privileg ring ? __eou__ __eot__ it be a great idea . __eou__ you can choos ani from the 65k+ port __eou__ __eot__,http : //ubuntuforums.org/showthread.php ? t=789578 __eou__,0
"hi , i want to use the bright applet on my notebook but it doe noth . ani idead ? __eou__ __eot__ be you use the nvidia driver ? __eou__ __eot__",someth i can add after xchat in the command to run the program ? __eou__ thank __eou__,0
i ve not have much luck with ir on my thinkpad __eou__ __eot__ r52 here __eou__ __eot__,all i can recommend be read up on this site if you have n't alreadi . http : //www.thinkwiki.org/wiki/irda it 's a great sourc for linux thinkpad stuff most of the time __eou__,1
"hi . i 'm have a problem with my x setup . i have two screen , but onli one be usabl . __eou__ it be usabl befor i upgrad . __eou__ i have run nvidia-set sever time . __eou__ my second monitor have ax mous cursor , but no background and i ca n't put widow there __eou__ ani idea ? __eou__ what be xinerama ? __eou__ in the nvidia set ? i chang from `` separ x screen '' to `` twinview '' and when i hit appli i get http : //dpaste.com/110255/ __eou__ doe that mean anyth ? __eou__ do i want twinview or separ in order to have `` one desktop of doubl width '' __eou__ ? __eou__ __eot__ i donno if xrandr command work for nvidia ( most like it will ) , but it be help in set up dual monitor __eou__ __eot__ doe this help ? http : //dpaste.com/110259/ __eou__ __eot__ hold on..let me pull some info out for you __eou__ can you give me the output of xrandr -q __eou__ __eot__",it 's the exact same as abov __eou__,1
